queue_ahead,daily_caller,hour,minute,day_of_week,recent_arrivals,recent_services,avg_service_time,time_since_previous_call
0,161,13,29,2,5,5,304.15,242.0
0,75,11,11,3,5,5,296.7,94.0
0,55,9,57,1,1,1,231.05,598.0
0,140,17,7,4,3,3,257.6,293.0
0,101,13,8,4,3,3,254.5,10.0
0,209,16,32,2,5,5,348.75,7.0
0,29,9,53,2,5,5,324.7,190.0
4,170,15,24,3,7,3,404.55,121.0
0,167,15,7,2,4,4,273.4,8.0
0,11,8,25,2,6,6,393.9,47.0
0,167,17,20,0,3,3,315.4,405.0
0,128,15,8,0,2,2,377.7,17.0
0,110,14,8,2,3,3,268.95,173.0
0,114,12,24,4,3,3,212.8,352.0
0,100,14,21,2,2,2,228.85,324.0
0,183,15,17,3,5,5,270.8,147.0
0,123,14,7,4,3,3,180.2,93.0
0,144,12,55,4,3,3,339.55,111.0
0,24,9,39,1,1,1,226.35,3.0
0,56,10,31,1,4,4,366.95,98.0
0,85,11,34,4,4,4,478.95,105.0
0,61,11,31,0,2,2,363.5,22.0
0,7,8,25,0,0,0,179.95,1089.0
0,158,17,11,3,1,1,314.3,482.0
0,220,16,35,4,3,3,279.4,33.0
0,74,10,51,0,8,8,251.85,150.0
0,138,16,56,2,2,2,232.95,416.0
0,71,12,13,2,3,3,327.35,53.0
0,7,8,25,4,2,2,174.4,107.0
0,67,10,0,1,4,4,339.7,195.0
0,137,16,18,3,1,1,236.15,199.0
0,56,11,37,1,1,1,269.3,293.0
0,106,13,31,4,1,1,225.55,366.0
2,58,10,6,1,5,3,428.55,16.0
0,14,8,52,2,2,2,362.3,103.0
0,68,11,34,1,4,4,321.05,217.0
1,152,13,48,0,6,5,366.6,157.0
0,80,13,17,3,3,3,244.25,54.0
0,154,13,26,1,3,3,299.5,38.0
0,25,9,13,2,2,2,196.7,205.0
0,138,15,8,1,0,0,426.2,647.0
0,48,10,54,4,4,4,254.05,296.0
0,104,13,14,4,2,2,276.75,82.0
0,59,10,31,4,3,3,252.6,44.0
0,180,14,42,4,5,5,442.15,88.0
0,162,15,44,0,5,6,342.5,234.0
1,167,16,54,4,4,4,350.65,190.0
0,55,9,38,2,4,4,290.7,3.0
0,203,14,37,1,4,4,193.65,20.0
0,211,16,19,1,5,5,258.7,13.0
0,97,11,48,4,2,3,397.9,274.0
0,57,11,24,1,2,2,225.75,247.0
0,90,11,12,0,7,7,190.95,44.0
0,153,13,35,0,2,2,210.65,66.0
0,22,9,6,2,3,3,260.35,174.0
0,80,10,52,2,5,5,295.05,88.0
0,29,9,7,2,5,5,439.4,46.0
0,144,14,42,1,3,3,280.05,376.0
4,15,8,27,4,8,4,354.8,133.0
0,107,13,10,3,7,7,282.25,30.0
0,116,16,35,1,3,3,329.15,107.0
0,60,11,55,0,2,2,318.7,59.0
0,80,13,17,1,4,4,283.3,112.0
0,107,15,10,1,1,1,461.25,381.0
0,229,16,6,2,5,5,272.0,74.0
0,115,13,4,3,3,3,255.05,130.0
0,146,14,4,4,6,6,320.85,35.0
0,89,11,27,4,2,2,289.2,196.0
3,115,12,12,0,6,5,372.65,17.0
0,60,11,16,3,1,1,343.8,467.0
0,29,10,9,0,3,3,295.55,119.0
0,182,15,18,2,2,2,370.15,81.0
1,33,9,20,4,3,4,408.7,318.0
0,2,8,4,2,1,1,307.3,259.0
0,25,8,55,2,2,2,185.25,126.0
0,37,10,38,2,3,3,453.4,36.0
0,140,15,4,4,6,6,375.05,226.0
0,73,13,34,0,0,0,215.35,821.0
0,67,11,47,1,4,4,413.2,214.0
0,16,8,49,0,3,3,297.75,165.0
0,245,17,40,0,4,4,158.05,50.0
0,237,16,43,3,3,3,366.55,86.0
0,97,13,47,4,2,2,248.35,340.0
0,16,8,37,4,5,5,282.5,244.0
0,244,17,26,4,4,4,240.65,136.0
0,81,13,4,0,2,2,246.1,16.0
0,103,15,6,3,4,4,247.5,7.0
0,51,9,37,1,2,2,314.6,143.0
4,72,11,49,1,8,4,359.15,63.0
0,161,15,32,3,5,5,343.5,188.0
2,34,10,0,2,5,3,378.2,136.0
0,127,15,23,1,5,5,283.9,51.0
0,242,17,36,1,3,3,250.95,89.0
0,28,9,1,3,7,7,306.1,229.0
1,83,12,11,1,5,4,419.75,1.0
0,138,16,6,0,3,3,346.9,256.0
0,77,13,23,3,7,7,287.85,254.0
1,94,11,39,3,6,5,325.8,130.0
0,14,8,27,3,2,2,292.7,85.0
0,65,10,52,0,2,2,325.45,106.0
0,277,17,12,2,6,12,214.95,23.0
0,96,13,14,4,2,2,377.3,17.0
0,29,9,54,3,1,1,428.55,115.0
0,134,14,51,2,3,3,468.6,272.0
0,6,8,11,3,4,4,278.7,234.0
0,148,13,31,2,1,2,336.35,323.0
0,90,12,46,4,3,3,260.5,85.0
1,117,13,36,0,7,6,362.1,18.0
0,86,11,32,1,1,1,349.3,58.0
0,56,11,3,4,5,5,345.15,136.0
0,106,14,45,0,0,1,258.25,604.0
0,167,16,32,2,7,7,266.55,152.0
0,14,8,44,4,1,1,334.45,23.0
0,72,12,4,1,2,2,358.95,88.0
0,6,8,16,2,4,4,238.15,57.0
0,144,13,57,3,5,5,241.3,338.0
2,22,8,35,4,10,8,284.75,48.0
0,114,15,3,0,3,3,287.1,422.0
0,108,13,13,3,5,5,398.65,130.0
0,2,8,4,3,1,1,305.8,252.0
0,49,10,37,3,2,2,621.75,264.0
0,11,8,23,4,4,4,401.6,242.0
0,68,10,49,0,2,2,317.95,196.0
0,79,12,12,3,4,4,318.6,14.0
0,103,14,0,2,0,0,280.95,627.0
0,163,14,25,0,2,2,262.25,220.0
0,85,12,22,1,1,3,391.45,49.0
0,49,10,58,3,2,2,274.0,398.0
0,168,16,22,4,4,6,355.65,108.0
0,157,17,40,2,4,4,275.75,4.0
0,67,10,41,0,4,4,272.2,195.0
0,133,14,19,3,6,6,289.6,70.0
0,68,13,0,4,2,2,238.8,236.0
0,31,9,9,3,7,7,258.8,45.0
0,33,10,31,2,0,0,355.4,1251.0
0,56,11,46,1,1,1,253.45,202.0
0,47,10,33,1,4,4,290.0,49.0
0,179,16,48,2,0,0,528.8,1243.0
0,59,11,47,1,3,3,343.3,27.0
0,151,15,27,0,6,6,207.7,71.0
0,142,14,29,2,2,2,291.05,55.0
0,155,13,30,1,4,4,303.65,240.0
0,65,12,46,4,0,0,265.05,1324.0
0,102,11,55,2,5,5,257.45,41.0
0,98,12,18,1,3,3,339.3,188.0
0,111,14,53,0,2,2,263.3,90.0
0,179,14,18,3,3,3,281.4,133.0
0,71,11,49,1,0,0,201.3,634.0
0,81,12,30,0,2,2,241.9,63.0
0,202,17,15,3,4,4,248.8,108.0
0,72,12,41,1,5,5,232.25,129.0
0,92,12,13,1,5,5,346.1,215.0
0,116,14,2,3,2,2,286.8,164.0
0,127,14,16,4,4,4,199.75,100.0
0,4,8,15,3,1,1,316.05,371.0
0,122,13,21,1,3,3,407.5,112.0
0,99,13,27,3,3,3,307.2,96.0
0,102,12,27,2,6,6,252.75,1.0
0,118,13,32,1,4,4,296.15,81.0
0,159,15,44,3,3,3,246.5,159.0
0,30,9,32,4,2,2,277.45,199.0
1,17,8,44,3,6,5,226.2,25.0
0,126,13,16,2,4,4,321.35,93.0
0,123,14,8,2,6,6,251.05,5.0
0,22,9,17,3,1,1,253.25,490.0
0,159,17,44,0,1,1,279.4,558.0
0,69,10,52,3,3,3,178.45,89.0
0,107,11,58,1,3,4,314.9,285.0
0,136,14,16,0,4,6,418.3,60.0
0,105,12,20,0,3,3,351.0,526.0
0,183,17,44,3,3,3,281.15,18.0
0,178,16,6,3,4,5,486.9,22.0
0,189,14,54,2,4,7,251.05,76.0
0,54,11,17,3,2,2,319.45,105.0
0,17,8,41,3,2,2,348.4,257.0
0,69,12,35,2,0,0,217.35,792.0
0,80,11,26,2,2,2,240.95,387.0
0,145,13,26,4,4,4,273.2,11.0
0,1,8,0,4,0,0,248.85,51234.0
0,249,17,17,1,2,2,218.9,302.0
0,78,11,19,0,4,4,326.0,83.0
0,54,10,48,2,1,1,251.0,501.0
0,2,8,1,0,1,1,213.15,110.0
0,1,8,0,0,0,0,138.05,223543.0
0,267,17,9,0,3,3,338.55,72.0
0,97,14,33,3,3,3,318.25,272.0
0,36,10,7,4,5,5,234.2,280.0
0,208,14,58,1,4,4,262.65,46.0
0,45,10,1,2,3,3,259.9,59.0
2,185,15,54,0,7,5,345.75,52.0
0,177,14,49,4,3,3,439.15,478.0
0,132,13,9,1,7,7,324.15,91.0
0,71,13,22,3,2,2,350.05,283.0
0,213,16,31,4,4,4,310.55,5.0
0,163,14,29,0,4,4,364.6,26.0
0,1,8,0,1,0,0,323.35,50629.0
0,113,13,13,0,6,6,306.5,11.0
0,112,15,9,0,5,5,250.75,88.0
0,25,9,12,4,3,3,391.7,6.0
0,164,13,54,0,3,3,221.6,102.0
0,204,17,23,3,2,2,288.7,160.0
0,18,8,48,3,0,0,273.1,667.0
0,22,8,52,0,3,3,321.65,331.0
0,103,14,39,4,3,3,292.3,78.0
0,22,9,9,3,2,2,291.3,224.0
0,174,15,1,2,5,5,282.95,188.0
0,142,16,5,1,2,2,260.2,94.0
0,218,16,49,0,0,0,228.05,698.0
0,112,14,39,1,5,5,324.55,131.0
0,278,17,56,1,2,2,188.05,418.0
0,142,15,29,2,4,4,354.65,386.0
0,21,9,25,4,2,2,376.3,157.0
0,34,9,31,0,4,4,291.4,1.0
0,154,15,42,3,5,5,204.7,26.0
0,13,8,36,1,6,6,250.05,390.0
0,122,11,39,1,3,3,220.75,454.0
0,49,10,4,4,4,4,348.9,44.0
0,149,16,29,0,2,2,267.85,360.0
0,155,15,32,3,4,4,408.6,131.0
0,76,13,5,4,2,2,280.6,191.0
0,20,8,41,0,6,6,231.0,15.0
0,86,13,30,4,3,3,183.9,69.0
0,108,15,37,4,1,2,457.5,27.0
0,48,10,41,0,5,5,348.3,33.0
0,3,8,5,1,2,2,282.45,11.0
0,46,9,21,1,6,6,251.95,90.0
0,4,8,11,3,2,2,244.7,417.0
0,30,9,33,0,4,4,379.3,194.0
0,18,8,33,1,5,5,289.1,83.0
0,138,14,39,1,4,4,327.45,231.0
0,124,15,56,3,3,3,447.0,4.0
0,154,15,4,3,3,3,303.75,360.0
0,4,8,5,3,3,3,282.4,112.0
5,138,14,1,0,8,5,356.45,13.0
0,59,10,5,3,7,7,256.75,109.0
0,201,17,13,3,4,4,223.15,124.0
0,47,10,11,4,2,2,333.7,154.0
0,5,8,6,3,4,4,313.0,21.0
0,38,11,4,1,4,4,277.0,112.0
0,44,10,3,3,4,4,302.7,94.0
0,47,9,34,2,3,3,314.35,315.0
0,92,13,25,2,1,1,207.9,393.0
0,130,13,40,1,1,1,295.35,10.0
0,19,9,9,4,4,4,407.0,222.0
0,195,16,14,3,5,5,204.5,142.0
0,197,15,57,3,2,2,271.0,125.0
0,76,11,27,0,2,2,270.25,185.0
0,19,8,57,1,2,2,332.2,235.0
0,23,9,34,0,1,1,313.4,60.0
0,78,12,4,2,1,1,331.55,410.0
0,4,8,18,2,0,0,263.65,757.0
0,15,8,51,4,2,2,317.85,310.0
0,106,12,34,0,4,4,355.6,234.0
1,67,11,18,3,4,3,352.45,58.0
0,104,11,45,4,5,5,385.75,44.0
3,176,14,13,0,5,2,355.55,143.0
0,18,9,14,3,1,1,257.4,486.0
0,61,11,40,1,1,1,307.5,260.0
0,67,10,45,4,6,6,256.1,52.0
0,56,11,12,2,1,1,250.4,426.0
0,79,13,30,1,2,2,280.35,29.0
0,132,13,16,4,4,4,275.7,122.0
0,124,12,36,1,4,4,343.0,233.0
0,147,15,25,3,4,4,329.9,123.0
0,73,13,10,0,2,2,375.6,170.0
0,120,15,55,2,3,3,299.15,98.0
1,110,14,48,0,4,3,301.95,10.0
0,204,16,30,0,3,3,224.35,408.0
0,95,12,52,0,6,6,281.15,183.0
0,1,8,0,4,0,0,225.95,50511.0
0,34,9,21,0,2,2,209.55,517.0
0,181,17,14,3,2,2,139.4,400.0
0,80,12,19,0,4,4,258.85,42.0
0,85,12,23,0,5,5,231.0,58.0
0,71,11,55,4,4,5,311.0,40.0
0,51,11,0,0,0,0,331.65,768.0
0,165,17,52,4,2,2,233.3,182.0
0,46,10,24,0,2,2,340.45,27.0
0,109,15,44,3,4,4,244.6,248.0
0,48,9,52,3,6,6,340.15,246.0
0,181,16,56,2,2,2,459.65,65.0
0,75,11,46,0,2,2,393.5,388.0
0,134,13,38,4,4,4,200.75,101.0
0,149,15,7,3,6,6,276.7,163.0
0,99,13,3,2,4,4,282.35,398.0
0,95,12,54,4,3,3,293.1,14.0
0,14,8,50,4,2,2,311.75,138.0
0,55,10,47,1,5,5,371.95,231.0
0,107,14,47,4,3,3,248.75,5.0
0,166,14,9,2,4,4,314.0,163.0
0,59,10,35,3,2,2,210.15,231.0
0,96,13,9,2,6,6,184.25,91.0
0,105,17,3,1,2,2,248.75,58.0
1,219,17,18,1,6,5,310.6,31.0
0,135,13,55,2,3,3,323.35,249.0
0,187,14,20,0,5,5,342.25,297.0
1,132,13,15,3,5,7,432.8,69.0
0,146,16,25,2,2,2,164.4,218.0
0,239,17,21,3,5,5,376.05,32.0
0,146,13,55,3,7,7,231.55,27.0
0,144,13,1,1,4,5,308.1,279.0
2,134,13,33,4,9,7,394.5,50.0
0,171,14,58,4,1,1,332.3,194.0
0,147,16,34,0,4,4,270.6,189.0
0,94,13,40,0,5,5,281.9,65.0
0,98,15,8,4,2,2,377.65,467.0
0,18,8,28,3,5,5,269.8,103.0
0,210,16,5,2,1,1,347.05,429.0
0,105,14,24,3,6,6,301.3,57.0
0,98,14,58,0,2,2,350.1,303.0
0,15,8,43,3,1,1,412.5,275.0
0,60,11,26,3,0,0,285.55,1063.0
0,253,17,42,0,1,1,252.8,73.0
0,180,17,37,0,5,5,239.8,43.0
0,140,14,54,0,5,5,357.2,212.0
0,112,15,39,1,3,3,241.8,115.0
0,44,9,46,1,1,1,323.95,31.0
0,147,15,22,1,3,3,190.25,169.0
0,89,14,16,1,1,1,131.4,432.0
0,20,8,46,3,9,9,261.85,58.0
0,35,9,32,1,3,3,285.1,229.0
0,165,15,1,2,5,5,258.45,3.0
0,183,14,20,2,3,3,428.45,13.0
0,148,15,54,0,1,1,414.3,566.0
0,38,10,48,1,0,0,273.05,637.0
0,123,12,28,2,2,2,284.3,158.0
0,55,10,15,0,4,4,186.95,73.0
0,98,14,26,1,3,3,396.8,54.0
0,5,8,5,1,4,4,308.9,94.0
0,158,16,54,2,4,4,403.75,61.0
0,174,14,41,1,5,5,308.45,2.0
0,250,17,50,4,8,8,230.55,31.0
0,3,8,2,4,2,2,255.25,137.0
0,36,9,40,1,5,5,235.5,87.0
0,163,14,59,4,3,3,319.3,241.0
0,49,10,57,4,2,2,314.5,120.0
0,118,13,57,1,5,5,288.05,9.0
0,156,14,33,0,3,3,197.3,136.0
0,128,15,31,1,4,4,310.35,64.0
0,163,15,46,3,1,1,311.0,402.0
0,71,12,3,0,5,5,322.0,7.0
0,163,16,9,2,5,5,317.6,96.0
0,44,9,32,3,6,7,423.9,151.0
0,61,12,12,2,2,2,271.15,515.0
0,93,12,42,3,6,6,224.75,53.0
0,35,9,53,4,2,2,225.9,190.0
0,196,17,25,1,3,3,228.6,267.0
0,114,15,16,2,2,2,360.15,433.0
0,2,8,2,2,1,1,303.25,157.0
0,26,9,16,3,3,3,227.9,301.0
0,104,12,22,3,4,4,316.3,160.0
0,139,14,25,0,5,5,269.0,66.0
0,57,11,54,0,1,1,332.55,231.0
0,11,8,43,2,1,1,331.8,390.0
0,101,13,27,2,2,2,216.65,29.0
0,104,14,49,2,4,4,554.4,294.0
0,84,13,44,0,4,4,308.95,19.0
0,78,11,51,0,3,3,236.65,116.0
0,27,9,15,2,2,2,364.1,14.0
0,128,14,44,0,2,2,318.65,388.0
0,45,10,25,4,4,4,421.5,15.0
0,60,11,30,2,2,2,307.85,144.0
0,40,10,3,1,3,3,244.9,289.0
0,122,16,3,4,3,3,277.75,214.0
0,12,8,55,0,2,2,430.2,355.0
0,129,15,32,3,4,4,283.15,56.0
0,2,8,0,0,1,1,220.95,9.0
1,266,17,18,3,5,4,371.05,98.0
0,99,11,12,3,3,3,353.25,27.0
0,178,17,23,1,4,4,203.35,7.0
4,130,13,11,3,4,4,410.65,16.0
0,191,16,20,3,4,4,238.7,59.0
1,166,16,51,4,4,5,371.05,109.0
0,184,16,54,3,2,2,447.25,123.0
0,142,14,13,2,2,3,432.0,276.0
0,29,8,46,1,4,4,276.95,337.0
0,9,8,21,1,3,3,230.15,225.0
0,152,14,26,3,0,0,344.3,633.0
1,212,15,13,2,7,6,315.75,164.0
0,171,17,38,0,3,3,323.35,74.0
0,143,14,6,2,3,3,191.55,83.0
0,60,10,23,2,5,5,177.4,209.0
0,109,14,33,2,4,4,118.55,51.0
0,100,12,57,0,2,2,361.15,53.0
0,203,14,48,1,7,7,308.3,20.0
0,8,8,17,3,3,3,278.15,281.0
0,22,9,15,4,3,3,356.45,350.0
0,36,10,32,3,4,4,282.4,45.0
0,28,9,10,4,5,5,322.75,174.0
4,128,13,24,1,8,6,454.85,32.0
0,80,10,41,3,3,3,369.15,208.0
1,288,17,40,4,6,5,426.3,77.0
0,104,12,28,3,5,5,368.65,8.0
0,58,10,26,3,4,4,221.5,121.0
0,111,12,12,3,1,1,244.05,40.0
0,109,14,4,3,4,4,295.65,1.0
0,103,11,53,1,2,2,340.1,94.0
0,167,17,47,2,3,3,326.0,156.0
0,84,12,46,1,1,1,264.65,387.0
0,81,10,42,4,2,2,319.55,206.0
0,121,13,39,0,5,5,285.25,22.0
0,173,14,54,1,2,2,220.8,34.0
0,191,17,0,2,6,6,392.3,1.0
0,197,17,34,4,4,4,264.3,87.0
0,27,9,40,2,2,2,256.3,181.0
0,165,16,49,4,4,9,374.2,4.0
0,104,14,51,1,3,3,292.65,43.0
0,148,17,21,0,3,3,247.05,128.0
0,128,12,35,2,4,4,212.0,7.0
0,60,11,34,3,4,4,330.85,4.0
0,83,10,47,3,4,4,405.7,158.0
0,91,12,34,4,3,3,290.8,40.0
0,175,17,4,1,4,4,224.15,23.0
0,246,17,47,1,3,3,223.05,12.0
0,232,17,27,1,3,3,367.95,29.0
0,108,13,36,4,4,4,241.2,288.0
0,129,16,34,4,1,1,298.05,41.0
0,23,9,9,3,3,3,210.95,128.0
