queue_ahead,daily_caller,hour,minute,day_of_week,wait_length
0,1,8,0,4,0
0,2,8,2,4,0
0,3,8,8,4,0
0,4,8,9,4,0
0,5,8,11,4,0
0,6,8,22,4,0
0,7,8,23,4,0
0,8,8,23,4,0
0,9,8,25,4,0
0,10,8,27,4,0
0,11,8,28,4,0
0,12,8,28,4,72
0,13,8,36,4,0
0,14,8,36,4,0
0,15,8,43,4,0
0,16,8,43,4,0
0,17,8,46,4,0
0,18,8,47,4,0
0,19,8,53,4,0
0,20,8,54,4,0
0,21,9,0,4,0
0,22,9,9,4,0
0,23,9,12,4,0
0,24,9,14,4,0
0,25,9,23,4,0
0,26,9,36,4,0
0,27,9,48,4,0
0,28,9,52,4,0
0,29,9,56,4,0
0,30,9,58,4,0
0,31,10,1,4,0
0,32,10,1,4,0
0,33,10,3,4,0
0,34,10,4,4,0
0,35,10,12,4,0
0,36,10,12,4,0
0,37,10,27,4,0
0,38,10,43,4,0
0,39,10,50,4,0
0,40,10,58,4,0
0,41,11,4,4,0
0,42,11,8,4,0
0,43,11,10,4,0
0,44,11,16,4,0
0,45,11,18,4,0
0,46,11,22,4,0
0,47,11,24,4,0
0,48,11,28,4,0
0,49,11,28,4,0
0,50,11,31,4,0
0,51,11,36,4,0
0,52,11,36,4,0
0,53,11,37,4,0
0,54,11,42,4,0
0,55,11,45,4,0
0,56,11,45,4,0
0,57,11,49,4,0
0,58,11,55,4,0
0,59,11,56,4,0
0,60,11,59,4,0
0,61,12,3,4,0
0,62,12,8,4,0
0,63,12,14,4,0
0,64,12,14,4,0
0,65,12,16,4,0
0,66,12,26,4,0
0,67,12,28,4,0
0,68,12,32,4,0
0,69,12,42,4,0
0,70,12,42,4,0
0,71,12,44,4,0
0,72,12,47,4,0
0,73,12,48,4,0
0,74,12,52,4,0
0,75,12,55,4,0
0,76,12,56,4,0
0,77,13,3,4,0
0,78,13,7,4,0
0,79,13,10,4,0
0,80,13,15,4,0
0,81,13,26,4,0
0,82,13,32,4,0
0,83,13,38,4,0
0,84,13,43,4,0
0,85,13,48,4,0
0,86,13,52,4,0
0,87,13,55,4,0
0,88,14,1,4,0
0,89,14,9,4,0
0,90,14,10,4,0
0,91,14,11,4,0
0,92,14,11,4,0
0,93,14,13,4,0
0,94,14,15,4,0
0,95,14,15,4,0
0,96,14,23,4,0
0,97,14,25,4,0
0,98,14,27,4,0
0,99,14,29,4,0
0,100,14,37,4,0
0,101,14,40,4,0
0,102,14,44,4,0
0,103,14,45,4,0
0,104,14,46,4,0
0,105,14,48,4,0
0,106,14,50,4,0
